Forecast #,Forecast Issue Date,1week,2week,lt_week1,lt_week2,lt_week3,lt_week4,lt_week5,lt_week6,lt_week7,lt_week8,lt_week9,lt_week10,lt_week11,lt_week12,lt_week13,lt_week14,lt_week15,lt_week16
1,8/31/2020,59,60,57,64,55,57,63,65,67,76,170,167,165,166,160,165,166,170
2,9/7/2020,40,35,40,42,50,51,60,64,70,85,80,90,100,105,115,700,300,400
3,9/14/2020,38,35,58,45,40,51,60,64,70,85,80,90,100,115,700,300,400,400
4,9/21/2020,40,40,58,45,40,51,60,64,70,85,80,90,110,115,700,300,400,400
5,9/28/2020,57,56,58,45,40,51,60,64,70,85,80,90,110,115,700,300,400,400
6,10/5/2020,,,,,,,,,,,,,,,,,,
7,10/12/2020,,,,,,,,,,,,,,,,,,
8,10/19/2020,,,,,,,,,,,,,,,,,,
9,10/26/2020,,,,,,,,,,,,,,,,,,
10,11/2/2020,,,,,,,,,,,,,,,,,,
11,11/9/2020,,,,,,,,,,,,,,,,,,
12,11/16/2020,,,,,,,,,,,,,,,,,,
13,11/23/2020,,,,,,,,,,,,,,,,,,
14,11/30/2020,,,,,,,,,,,,,,,,,,
15,12/7/2020,,,,,,,,,,,,,,,,,,
